,t1,t2,t3,t4
0,1708610389.213073,1708610382.60525,1708610382.61304,1708610389.371687
0,1708610390.187068,1708610383.577088,1708610383.5882921,1708610390.268458
0,1708610390.406321,1708610383.894314,1708610383.9126132,1708610390.596706
0,1708610390.746353,1708610384.136437,1708610384.1476328,1708610390.83969
0,1708610391.166408,1708610384.557248,1708610384.557248,1708610391.24631
0,1708610392.041646,1708610385.433404,1708610385.443327,1708610392.127422
0,1708610392.647811,1708610386.037094,1708610386.047337,1708610392.748506
0,1708610392.990502,1708610386.38228,1708610386.3942912,1708610393.186922
0,1708610393.421777,1708610386.811101,1708610386.819165,1708610393.49991
0,1708610393.683302,1708610387.072423,1708610387.072423,1708610393.762522
0,1708610393.968849,1708610387.466973,1708610387.4737952,1708610394.159287
0,1708610394.281468,1708610387.669972,1708610387.677377,1708610394.360992
0,1708610394.494564,1708610387.886469,1708610387.8959029,1708610394.581395
0,1708610394.713524,1708610388.106023,1708610388.1113122,1708610394.796471
0,1708610394.931263,1708610388.324033,1708610388.32738,1708610395.014621
0,1708610395.135668,1708610388.528104,1708610388.537022,1708610395.227758
0,1708610395.335092,1708610388.723472,1708610388.727072,1708610395.41571
0,1708610395.557596,1708610388.950827,1708610388.950827,1708610395.643591
0,1708610395.770068,1708610389.162502,1708610389.1679301,1708610395.847075
0,1708610395.972252,1708610389.365955,1708610389.376516,1708610396.055939
0,1708610396.189746,1708610389.580892,1708610389.5852911,1708610396.273793
0,1708610396.499774,1708610389.890751,1708610389.905938,1708610396.706997
0,1708610397.252029,1708610390.728386,1708610390.7321188,1708610397.429249
0,1708610397.843026,1708610391.236365,1708610391.2429051,1708610397.941527
0,1708610398.053627,1708610391.4449,1708610391.4486291,1708610398.127509
0,1708610398.235644,1708610391.625769,1708610391.63077,1708610398.314703
0,1708610398.423356,1708610391.814871,1708610391.814871,1708610398.506747
0,1708610398.636817,1708610392.028434,1708610392.0348701,1708610398.723922
0,1708610398.857769,1708610392.250438,1708610392.255125,1708610398.945106
0,1708610399.072078,1708610392.464795,1708610392.4682121,1708610399.148364
0,1708610399.259815,1708610392.650341,1708610392.6557941,1708610399.333719
0,1708610399.465341,1708610392.855662,1708610392.858966,1708610399.549336
0,1708610399.689637,1708610393.081801,1708610393.085523,1708610399.77166
0,1708610399.880373,1708610393.270528,1708610393.281263,1708610399.957734
0,1708610400.092768,1708610393.484532,1708610393.491219,1708610400.172979
0,1708610400.30872,1708610393.804493,1708610393.81303,1708610400.495121
0,1708610400.706549,1708610394.098233,1708610394.098233,1708610400.887513
0,1708610401.65032,1708610395.124404,1708610395.135531,1708610401.83264
0,1708610402.079638,1708610395.468481,1708610395.4797602,1708610402.165512
0,1708610402.283094,1708610395.672072,1708610395.6837828,1708610402.367577
0,1708610402.498722,1708610395.887983,1708610395.887983,1708610402.571988
0,1708610402.693869,1708610396.08347,1708610396.092024,1708610402.77484
0,1708610402.912129,1708610396.303279,1708610396.30669,1708610402.993288
0,1708610403.129856,1708610396.519564,1708610396.526316,1708610403.214228
0,1708610403.349798,1708610396.743348,1708610396.7587829,1708610403.439159
0,1708610403.556563,1708610396.948698,1708610396.948698,1708610403.63371
0,1708610403.761247,1708610397.151034,1708610397.16105,1708610403.844788
0,1708610403.988933,1708610397.380912,1708610397.380912,1708610404.070983
0,1708610404.214591,1708610397.607252,1708610397.6176748,1708610404.300021
0,1708610404.440679,1708610397.983896,1708610397.987658,1708610404.679041
0,1708610405.095621,1708610398.487496,1708610398.491025,1708610405.278897
0,1708610405.592423,1708610399.088035,1708610399.092246,1708610405.776319
0,1708610405.956243,1708610399.346643,1708610399.352055,1708610406.029798
0,1708610406.149431,1708610399.540108,1708610399.5437539,1708610406.223702
0,1708610406.335347,1708610399.72483,1708610399.73682,1708610406.419937
0,1708610406.529191,1708610399.918646,1708610399.9241042,1708610406.604041
0,1708610406.714551,1708610400.104087,1708610400.115461,1708610406.798338
0,1708610406.929953,1708610400.323317,1708610400.3304582,1708610407.010147
0,1708610407.140261,1708610400.529915,1708610400.5386372,1708610407.226737
0,1708610407.390939,1708610400.783506,1708610400.795668,1708610407.487372
0,1708610407.620764,1708610401.01224,1708610401.016084,1708610407.700555
0,1708610408.017969,1708610401.409749,1708610401.416315,1708610408.101614
0,1708610408.22405,1708610401.613241,1708610401.620493,1708610408.295583
0,1708610408.416721,1708610401.808389,1708610401.812142,1708610408.504504
0,1708610408.662925,1708610402.164387,1708610402.168173,1708610408.853536
0,1708610409.066709,1708610402.455705,1708610402.459568,1708610409.248199
0,1708610409.493087,1708610402.884067,1708610402.89571,1708610409.68702
0,1708610409.934404,1708610403.327029,1708610403.343491,1708610410.122866
0,1708610410.241307,1708610403.632624,1708610403.635944,1708610410.32042
0,1708610410.432553,1708610403.821035,1708610403.827883,1708610410.507153
0,1708610410.630337,1708610404.021121,1708610404.024454,1708610410.714874
0,1708610410.841094,1708610404.231216,1708610404.239897,1708610410.929452
0,1708610411.091333,1708610404.512487,1708610404.515728,1708610411.20239
0,1708610411.33633,1708610404.728954,1708610404.732634,1708610411.41865
0,1708610411.554666,1708610405.0067,1708610405.011009,1708610411.696228
0,1708610411.82848,1708610405.219251,1708610405.222693,1708610411.911589
0,1708610412.373813,1708610405.852494,1708610405.859346,1708610412.543047
0,1708610413.046906,1708610406.515738,1708610406.515738,1708610413.212509
0,1708610413.489138,1708610406.984132,1708610406.991022,1708610413.679209
0,1708610413.940288,1708610407.44043,1708610407.444103,1708610414.130678
0,1708610414.52014,1708610407.949071,1708610407.952729,1708610414.643395
0,1708610415.114574,1708610408.615206,1708610408.630861,1708610415.319437
0,1708610416.199154,1708610409.591921,1708610409.5951371,1708610416.279695
0,1708610416.411837,1708610409.855937,1708610409.859618,1708610416.547459
0,1708610416.719025,1708610410.110161,1708610410.1221921,1708610416.812712
0,1708610417.243022,1708610410.636737,1708610410.6399992,1708610417.399715
0,1708610417.649904,1708610411.199697,1708610411.199697,1708610417.888673
0,1708610418.149773,1708610411.637586,1708610411.645086,1708610418.329596
0,1708610418.493596,1708610411.966808,1708610411.970211,1708610418.657922
0,1708610418.883244,1708610412.276144,1708610412.2916071,1708610418.978114
0,1708610419.20352,1708610412.680828,1708610412.69102,1708610419.367729
0,1708610419.490529,1708610412.8812,1708610412.8944762,1708610419.639873
0,1708610419.858132,1708610413.248788,1708610413.2586362,1708610419.940103
0,1708610420.079855,1708610413.524308,1708610413.532323,1708610420.225965
0,1708610420.566609,1708610413.958825,1708610413.9771242,1708610420.688978
0,1708610420.811855,1708610414.280514,1708610414.28431,1708610420.964205
0,1708610422.048909,1708610415.445235,1708610415.457182,1708610422.266686
0,1708610422.415145,1708610415.80943,1708610415.8196688,1708610422.503212
0,1708610422.639245,1708610416.15102,1708610416.157815,1708610422.837854
0,1708610423.005299,1708610416.397201,1708610416.397201,1708610423.092343
0,1708610423.325137,1708610416.716665,1708610416.7238011,1708610423.406826
0,1708610423.524681,1708610416.913582,1708610416.919455,1708610423.599517
0,1708610423.713103,1708610417.103599,1708610417.114963,1708610423.839094
0,1708610424.14349,1708610417.535403,1708610417.535403,1708610424.232312
0,1708610424.448196,1708610417.840411,1708610417.840411,1708610424.523463
0,1708610424.664973,1708610418.052993,1708610418.05669,1708610424.751379
